Strategy,Type,Annual Return,Annual Volatility
PPO Agent,Agent,0.20128031025107695,0.11478316919634288
Equal Weight B&H,Benchmark,0.21805305501648897,0.12252210240355163
MSFT,Asset,0.22267816657560524,0.25626667669673453
GOOG,Asset,0.520818986061814,0.31931867618660836
AMZN,Asset,0.36157058158623556,0.3424465716271911
BRK-B,Asset,0.1718491917021483,0.17579929486774618
WMT,Asset,0.3692765233954194,0.20670101950608827
COST,Asset,0.2564266854349304,0.19839541803571278
JPM,Asset,0.3560006245790548,0.23218154674117691
V,Asset,0.16682404249303628,0.20185253491059674
LLY,Asset,0.4670546035868459,0.33196082217650724
PG,Asset,0.07956501310839226,0.16635305494223132
GLD,Asset,0.41545100050509065,0.17275678414532605
AAPL,Asset,0.2745155007358806,0.27480503049924454
UNH,Asset,-0.1050501221128527,0.34841579871481426
XOM,Asset,0.16702907450937743,0.24624319271217004
CVX,Asset,0.0774140891683226,0.23597221586421316
UNP,Asset,0.13073694627433174,0.22711961016280324
CAT,Asset,0.538958227395999,0.2958683409983392
LIN,Asset,0.17357309541479982,0.1903411526417883
NEE,Asset,0.10858255908073122,0.2640709020261637
AMT,Asset,0.016569200184386235,0.25385546095172273
DBC,Asset,0.05256199671242112,0.15594156164275622
