step,agent_model_0,agent_model_1,agent_model_2,agent_model_3,agent_model_4,agent_cumulative_return_mean,agent_cumulative_return_std,benchmark_cumulative_return
0,-0.004313969984650612,-0.002457852242514491,-0.0036721532233059406,0.0011252672411501408,0.00034966086968779564,-0.0017938094679266214,0.0024205273713395936,0.0008211430395022035
1,0.02577049657702446,0.02283095009624958,0.024480316787958145,0.028870442882180214,0.028073417022824287,0.026005124673247337,0.002497166161752007,0.026684386655688286
2,0.006267877295613289,0.006560766603797674,0.007524766027927399,0.010072242468595505,0.010843279771506786,0.00825378643348813,0.002082899427397136,0.0077875955030322075
3,0.010466440580785275,0.010239418596029282,0.012206231243908405,0.013259004801511765,0.014844532124698162,0.012203125469386577,0.0019341754713143046,0.010605163872241974
4,0.005855945870280266,0.004657466895878315,0.006209306884557009,0.008294488303363323,0.007616098970174789,0.00652666138485074,0.0014453846792533724,-0.0008969649206846952
5,-0.004594676196575165,-0.004344809800386429,-0.005289310123771429,0.0013289150083437562,-0.0014915351057425141,-0.002878283243626356,0.002762849211262788,-0.013896427117288113
6,-0.002348310546949506,-0.002522860886529088,-0.0031165468972176313,0.0041407435201108456,0.0002222201437689364,-0.0007249509333632886,0.0030066436209236955,-0.00876579713076353
7,-0.0035141317639499903,-0.0027966320049017668,-0.004436316434293985,0.003391221398487687,-0.0013101572403684258,-0.0017332032090052961,0.0030841572544193234,-0.011802962981164455
8,-0.0031976643949747086,-0.0017272209515795112,-0.0035035014152526855,0.0029642616864293814,0.00010244088480249047,-0.0010723368381150068,0.002670705991576085,-0.013522177003324032
9,0.02738279104232788,0.02717781811952591,0.02712417021393776,0.030623553320765495,0.02960347943007946,0.028382362425327302,0.001623821183523695,0.02011456899344921
10,0.012414952740073204,0.015310452319681644,0.013296602293848991,0.01799432560801506,0.0167703740298748,0.01515734139829874,0.0023268456222184227,0.007593754678964615
11,-0.0020960804540663958,0.0016115427715703845,-0.0013667101738974452,0.004741080105304718,0.00297122192569077,0.0011722108349204064,0.002885053256139846,-0.009138116613030434
12,-0.01893671415746212,-0.012953018769621849,-0.016391703858971596,-0.008891998790204525,-0.011392897926270962,-0.01371326670050621,0.003989521944268261,-0.026378139853477478
13,-0.024835238233208656,-0.0167989581823349,-0.021793652325868607,-0.013293307274580002,-0.015196955762803555,-0.018383622355759143,0.004791371514766851,-0.02624710649251938
14,-0.03497609123587608,-0.024234438315033913,-0.031596239656209946,-0.020014794543385506,-0.022491751238703728,-0.026662662997841834,0.006343110489212088,-0.034170035272836685
15,-0.027280038222670555,-0.017051687464118004,-0.022714274004101753,-0.01283735129982233,-0.013311825692653656,-0.01863903533667326,0.0062416519166725816,-0.023653611540794373
16,-0.024054642766714096,-0.016002971678972244,-0.020745638757944107,-0.011328554712235928,-0.01178324967622757,-0.016783011518418788,0.005566332170533898,-0.023025577887892723
17,-0.03289583697915077,-0.022521482780575752,-0.029687829315662384,-0.018279561772942543,-0.019323816522955894,-0.02454170547425747,0.006457480398116335,-0.03139229491353035
18,-0.02248454838991165,-0.01224121730774641,-0.02047470584511757,-0.0074616954661905766,-0.009200917556881905,-0.014372616913169623,0.00674701962671111,-0.019744638353586197
19,-0.025350505486130714,-0.014512036927044392,-0.023462342098355293,-0.008985218591988087,-0.011476517654955387,-0.016757324151694775,0.007282408391458567,-0.021839339286088943
20,-0.029967308044433594,-0.016988186165690422,-0.027341580018401146,-0.012106692418456078,-0.013743218034505844,-0.020029396936297416,0.008120411837355132,-0.026184367015957832
21,-0.02850431576371193,-0.01590043492615223,-0.02499520592391491,-0.010518894530832767,-0.011362076736986637,-0.018256185576319695,0.008114532305067697,-0.02503799833357334
22,-0.02413426712155342,-0.01336641889065504,-0.01852680742740631,-0.006304564885795116,-0.007151402998715639,-0.013896692264825105,0.007577374555875905,-0.018872149288654327
23,-0.029851805418729782,-0.014147408306598663,-0.02218196913599968,-0.00864776037633419,-0.009492408484220505,-0.016864270344376563,0.009030375274849697,-0.02437708154320717
24,-0.035541970282793045,-0.022088713943958282,-0.025747263804078102,-0.01581970788538456,-0.016658322885632515,-0.0231711957603693,0.008020377840099811,-0.03083992749452591
25,-0.03948952630162239,-0.022036084905266762,-0.02736698091030121,-0.018439367413520813,-0.0192757286131382,-0.025321537628769875,0.008654854336954024,-0.02968635968863964
26,-0.021390102803707123,-0.0010757138952612877,-0.007644108962267637,-0.0018458683043718338,-0.002696423791348934,-0.006930443551391363,0.008480105425776917,-0.009275151416659355
27,-0.02809891477227211,-0.006946371402591467,-0.013672860339283943,-0.008470791392028332,-0.00931566208600998,-0.013300919998437166,0.008641639019647438,-0.01648811064660549
28,-0.021112872287631035,0.0013820811873301864,-0.005780122708529234,-0.002012089593335986,-0.0028625051490962505,-0.006077101710252464,0.008784360498128084,-0.005413991864770651
29,-0.01062898337841034,0.010498777963221073,0.0046141669154167175,0.007390383165329695,0.0065319715067744255,0.003681263234466314,0.008276715574299393,0.006517443340271711
30,-0.01562933810055256,0.008686743676662445,0.0008765020756982267,0.004234754480421543,0.0033790136221796274,0.0003095351508818567,0.00934579851556691,0.0019035645527765155
31,-0.006843863520771265,0.016884472221136093,0.009468392468988895,0.01177723053842783,0.010915110819041729,0.008440268505364657,0.008989250068248906,0.014244369231164455
32,-0.007160349283367395,0.015513677150011063,0.010196254588663578,0.010364576242864132,0.009503659792244434,0.0076835636980831625,0.00863809329134327,0.012847552075982094
33,-0.030724558979272842,-0.0076417080126702785,-0.011983320116996765,-0.011902730911970139,-0.012744709849357605,-0.014999405574053526,0.009016456916112978,-0.010394337587058544
34,-0.03344723582267761,-0.012364916503429413,-0.015960169956088066,-0.015180395916104317,-0.01601959951221943,-0.018594463542103767,0.00843559994828839,-0.009318823926150799
35,-0.02694861963391304,-0.008018706925213337,-0.009967268444597721,-0.011016943491995335,-0.01185973547399044,-0.013562254793941974,0.007619494653720423,0.001292480039410293
36,-0.018629267811775208,-0.003293628105893731,-0.003593559842556715,-0.003458511084318161,-0.004307693801820278,-0.006656532129272819,0.006704134964989872,0.003556724637746811
37,-0.03070426918566227,-0.014152311719954014,-0.0137830451130867,-0.01624867133796215,-0.017086893320083618,-0.01839503813534975,0.0070197312877686635,-0.00506523996591568
38,-0.022887155413627625,-0.007499277126044035,-0.006038741208612919,-0.009468227624893188,-0.01031224150210619,-0.011241128575056792,0.006721276602608904,0.0066190906800329685
39,-0.01887689344584942,-0.004729695152491331,-0.002620419254526496,-0.005879705771803856,-0.006726826541125774,-0.007766708033159375,0.00639894691309851,0.010956617072224617
40,-0.021594898775219917,-0.007562611717730761,-0.004248388111591339,-0.009872650727629662,-0.010716329328715801,-0.010798975732177496,0.006534544991855447,0.0060229175724089146
41,-0.024171648547053337,-0.010240401141345501,-0.009211834520101547,-0.01119615975767374,-0.012038780376315117,-0.013371764868497848,0.006128989558243,0.0005929265171289444
42,-0.015939682722091675,-0.0014420209918171167,-0.0007263281149789691,-0.003220550250262022,-0.0040698545053601265,-0.0050796873169019815,0.006216912533046178,0.008637032471597195
43,-0.0037991937715560198,0.009635217487812042,0.013478539884090424,0.006401161663234234,0.005543622188270092,0.006251869490370154,0.006426888511175521,0.022622888907790184
44,-0.01200911309570074,0.0003605742531362921,0.005580629222095013,-0.0047284262254834175,-0.005576487630605698,-0.0032745646953117103,0.006620679587419348,0.008286901749670506
45,-0.013540880754590034,-0.004900016356259584,0.0042394292540848255,-0.009784718044102192,-0.010628492571413517,-0.0069229356944561,0.006971526746296824,0.005519464612007141
46,-0.018081162124872208,-0.009316103532910347,-0.00040343202999792993,-0.013311612419784069,-0.014152375049889088,-0.011052937031490729,0.0067181214986300935,0.0029149693436920643
47,-0.008145052008330822,0.005083282012492418,0.009473469108343124,-0.004756448790431023,-0.005604540929198265,-0.0007898581214249134,0.007629605986661782,0.014845170080661774
48,-0.005781922955065966,0.004418984521180391,0.010038853622972965,-0.002007619710639119,-0.0028580620419234037,0.0007620466873049736,0.00638420157674583,0.013511598110198975
49,-0.019295709207654,-0.009854869917035103,-0.0054883756674826145,-0.01397500466555357,-0.014815190806984901,-0.012685830052942038,0.005236991879037505,-0.0009988091187551618
50,-0.007262562867254019,0.00035278857103548944,0.005191237200051546,-0.003387811593711376,-0.004237009212374687,-0.0018686715804506094,0.004790304529103121,0.006794588174670935
51,-0.00044854357838630676,0.006061377003788948,0.011606927961111069,0.002259171800687909,0.0014051267644390464,0.004176811990328133,0.0047830875398276245,0.011299964040517807
52,-0.006701396778225899,-0.001163516310043633,0.005422267597168684,-0.005461402237415314,-0.0063088503666222095,-0.002842579619027674,0.005120807743241687,0.005237469915300608
53,-0.013009975664317608,-0.010130835697054863,-0.0014245175989344716,-0.012189213186502457,-0.013030982576310635,-0.009957104944624007,0.004913915946456782,0.0010451212292537093
54,-0.021561454981565475,-0.018928511068224907,-0.00958540290594101,-0.020273922011256218,-0.02110874280333519,-0.01829160675406456,0.004968937745644516,-0.007719495799392462
55,-0.02540930174291134,-0.021880274638533592,-0.014598851092159748,-0.021977119147777557,-0.022810574620962143,-0.021335224248468877,0.004026865978737342,-0.0131809888407588
56,-0.02613218128681183,-0.01970633678138256,-0.014782444573938847,-0.022059299051761627,-0.022892607375979424,-0.021114573813974857,0.004222241292444059,-0.017739368602633476
57,-0.029398581013083458,-0.02197394147515297,-0.017416929826140404,-0.026696287095546722,-0.027525603771209717,-0.024602268636226655,0.004859851116988018,-0.018011361360549927
58,-0.04419887438416481,-0.038897305727005005,-0.03381100669503212,-0.04041897505521774,-0.04123665764927864,-0.03971256390213966,0.0038223645682115676,-0.0327284075319767
59,-0.038864824920892715,-0.026614712551236153,-0.02799520082771778,-0.03519309684634209,-0.036015208810567856,-0.03293660879135132,0.005340813318986025,-0.0162176713347435
60,-0.050879403948783875,-0.03769068047404289,-0.038990143686532974,-0.0468796081840992,-0.047691792249679565,-0.0444263257086277,0.005771591572354476,-0.02250484749674797
61,-0.0555780753493309,-0.0376942977309227,-0.04070820286870003,-0.0502299964427948,-0.05103934928774834,-0.04704998433589935,0.00752500681196813,-0.025617271661758423
62,-0.06234016269445419,-0.0434662289917469,-0.048142146319150925,-0.055684514343738556,-0.056489214301109314,-0.05322445333003998,0.0074306713760466095,-0.02804180234670639
63,-0.04618023708462715,-0.028169794008135796,-0.03176533058285713,-0.041288793087005615,-0.042105745524168015,-0.037901980057358745,0.007583627068837731,-0.014882877469062805
64,-0.0356743149459362,-0.020081033930182457,-0.021304043009877205,-0.03396610915660858,-0.03478929027915001,-0.02916295826435089,0.00776800384361927,-0.0034707817249000072
65,-0.03361588343977928,-0.020429156720638275,-0.020621443167328835,-0.032912805676460266,-0.03373679146170616,-0.028263216093182563,0.0070710490387568305,-0.003411030862480402
66,-0.05017722398042679,-0.0362374372780323,-0.03616843372583389,-0.04995325952768326,-0.05076279118657112,-0.04465982913970947,0.007725747174101757,-0.019512822851538658
67,-0.043404608964920044,-0.02988462522625923,-0.029093727469444275,-0.04300291836261749,-0.0438183955848217,-0.037840855121612546,0.007634577264547737,-0.01584145799279213
68,-0.05477607622742653,-0.03772927075624466,-0.03743591159582138,-0.051062460988759995,-0.051871053874492645,-0.04657495468854904,0.008324857457611313,-0.0327514223754406
69,-0.06478206068277359,-0.044592127203941345,-0.04412027820944786,-0.056980881839990616,-0.05778442323207855,-0.053651954233646396,0.009013484928686597,-0.04590551182627678
70,-0.045886486768722534,-0.02778785489499569,-0.025684431195259094,-0.03977326676249504,-0.04059150815010071,-0.03594470955431461,0.008759239573239024,-0.02792554721236229
71,-0.045434582978487015,-0.029052164405584335,-0.02362588420510292,-0.038443733006715775,-0.039263129234313965,-0.0351638987660408,0.00871101363463681,-0.03832309693098068
72,-0.032788634300231934,-0.017399227246642113,-0.011124152690172195,-0.025972725823521614,-0.026802634820342064,-0.022817474976181983,0.008534522829395456,-0.035687483847141266
73,-0.020352507010102272,-0.005720316898077726,0.0010009795660153031,-0.015138868242502213,-0.01597810909152031,-0.011237764335237443,0.00867463389191395,-0.020084921270608902
74,-0.022631168365478516,-0.006353062577545643,0.0007207949529401958,-0.01506762858480215,-0.01590694859623909,-0.011847602634225041,0.009100641941444151,-0.024852564558386803
75,-0.012584528885781765,0.0030577341094613075,0.008384251035749912,-0.007195895072072744,-0.007016872055828571,-0.003071062173694372,0.008542190227839388,-0.01009767223149538
76,-0.01725521683692932,-0.005585929378867149,0.0016218184027820826,-0.014364566653966904,-0.014981139451265335,-0.010113006783649325,0.007921271890147647,-0.009065992198884487
77,-0.02182287909090519,-0.007331610657274723,-0.00014123633445706218,-0.016737163066864014,-0.01719590090215206,-0.01264575801033061,0.00875023101741504,-0.014257705770432949
78,-0.023622404783964157,-0.006663769483566284,0.0007091527804732323,-0.017655745148658752,-0.020404674112796783,-0.01352748814970255,0.010198506181982323,-0.022772928699851036
79,-0.006737058982253075,0.006377255544066429,0.012074917554855347,-0.003695536870509386,-0.005274777300655842,0.0005489599891006947,0.00824370167075868,-0.008229908533394337
80,-0.012945189140737057,0.0024291810113936663,0.007137305568903685,-0.00805748626589775,-0.009385527111589909,-0.004164343187585473,0.00852529187516545,-0.009378871880471706
81,-0.009779234416782856,0.007657877169549465,0.011906785890460014,-0.005657029803842306,-0.005810943432152271,-0.0003365089185535908,0.00950330096960338,-0.0011960919946432114
82,-0.0026785340160131454,0.015140224248170853,0.02112601138651371,0.00026722048642113805,0.0001302533783018589,0.006797035096678883,0.010627784741732949,0.005156821105629206
83,0.0023630191572010517,0.01935524120926857,0.025964507833123207,0.005504540167748928,0.005122239235788584,0.011661909520626068,0.010379083747292588,0.008262740448117256
84,0.011425658129155636,0.025217823684215546,0.0321190282702446,0.013320820406079292,0.013303597457706928,0.0190773855894804,0.009121581949372147,0.020385242998600006
85,0.0194868091493845,0.031870584934949875,0.03916795924305916,0.0204392671585083,0.019220586866140366,0.026037041470408438,0.00904372579448332,0.027696507051587105
86,0.022474011406302452,0.03643365204334259,0.04333026707172394,0.026568321511149406,0.02537594921886921,0.03083644025027752,0.008737684254804786,0.024623854085803032
87,0.024677051231265068,0.03575284034013748,0.04192018881440163,0.02942933328449726,0.02917005494236946,0.03218989372253418,0.006718559251498243,0.023494966328144073
88,0.027460772544145584,0.0391513854265213,0.04383625462651253,0.031924206763505936,0.032465558499097824,0.03496763557195663,0.006481358034574073,0.024502713233232498
89,0.03236621618270874,0.04403305426239967,0.048142142593860626,0.03666318207979202,0.0369291827082634,0.03962675556540489,0.006338422195298804,0.030479006469249725
90,0.03538457304239273,0.047366756945848465,0.05033043026924133,0.041324567049741745,0.041384655982255936,0.04315819665789604,0.005832876281402729,0.03625449910759926
91,0.035686641931533813,0.04815060272812843,0.052094221115112305,0.04259616136550903,0.04263846203684807,0.04423321783542633,0.006233146007125888,0.03406738489866257
92,0.041083864867687225,0.051943257451057434,0.05702910199761391,0.0451970174908638,0.04483259841799736,0.04801716804504395,0.006379548522356218,0.043321382254362106
93,0.03774799779057503,0.04936925321817398,0.05510040372610092,0.040313463658094406,0.03991803154349327,0.044489829987287524,0.007419378751415744,0.04299161583185196
94,0.039702992886304855,0.0526154525578022,0.0577666312456131,0.04127306491136551,0.04253995418548584,0.0467796191573143,0.007955295786819323,0.04574602469801903
95,0.03619975969195366,0.04893900826573372,0.05432857573032379,0.0374523364007473,0.03825017809867859,0.043033971637487414,0.008111462948341855,0.040331315249204636
96,0.03278324753046036,0.04964354634284973,0.055072762072086334,0.03485754132270813,0.03580769896507263,0.04163295924663544,0.010036871380866997,0.03913870081305504
97,0.043508995324373245,0.06009442359209061,0.06437932699918747,0.04560801014304161,0.0454876534640789,0.051815681904554364,0.009669060406476412,0.04712085425853729
98,0.03961408883333206,0.05780576542019844,0.06132298335433006,0.04122253134846687,0.042116597294807434,0.04841639325022697,0.010291501579589466,0.04457727074623108
99,0.041672222316265106,0.05802226811647415,0.06183280795812607,0.04359954223036766,0.04553507640957832,0.05013238340616226,0.009145187075098815,0.04623539373278618
100,0.03717178851366043,0.0567803680896759,0.05974120646715164,0.041447002440690994,0.043326716870069504,0.047693416476249695,0.009956308829418229,0.038943756371736526
101,0.033339422196149826,0.050927016884088516,0.05507577210664749,0.03471506014466286,0.03758791834115982,0.0423290379345417,0.00997081413399428,0.03354913368821144
102,0.048053305596113205,0.06289749592542648,0.06918971240520477,0.047882162034511566,0.05162984877824783,0.05593050494790077,0.009613366767756619,0.04354618489742279
103,0.051990918815135956,0.06733693182468414,0.07264488190412521,0.052042290568351746,0.05506606772542,0.059816218167543414,0.009557313124959072,0.050533540546894073
104,0.05325956270098686,0.06706415861845016,0.07298813760280609,0.052015967667102814,0.05577380210161209,0.0602203257381916,0.009292340315718566,0.046809617429971695
105,0.05033309385180473,0.066095270216465,0.07191106677055359,0.05114421993494034,0.05619548633694649,0.05913582742214203,0.009508418620540788,0.03906339406967163
106,0.04289824888110161,0.06176155060529709,0.0666312649846077,0.047262996435165405,0.05209987238049507,0.054130786657333375,0.009898883485906921,0.03198559209704399
107,0.05147475004196167,0.06421306729316711,0.07256873697042465,0.05073203146457672,0.05392119288444519,0.05858195573091507,0.009502576767274748,0.03794466331601143
108,0.0560874305665493,0.07020624727010727,0.07843689620494843,0.0551292859017849,0.05858573317527771,0.06368911862373353,0.010211156275862695,0.046863801777362823
109,0.05768671631813049,0.07059784978628159,0.0800669714808464,0.05654696002602577,0.05899263918399811,0.06477822735905647,0.010236332635516935,0.04386240243911743
110,0.05894729122519493,0.0745486468076706,0.08260180801153183,0.0583074614405632,0.059676043689250946,0.0668162502348423,0.011116163268362378,0.05010725557804108
111,0.06126830726861954,0.0759790763258934,0.08497506380081177,0.05981701239943504,0.060938771814107895,0.06859564632177353,0.011315723506992476,0.04764491319656372
112,0.06526638567447662,0.07882634550333023,0.08831189572811127,0.06323537230491638,0.06471803784370422,0.07207160741090775,0.01104353352004207,0.05230466276407242
113,0.06979741901159286,0.08428432047367096,0.09227771311998367,0.06796575337648392,0.0695209726691246,0.0767692357301712,0.010904519899605529,0.05276632681488991
114,0.06137287616729736,0.075785331428051,0.08409641683101654,0.059866659343242645,0.060633860528469086,0.06835102885961533,0.010993406264528525,0.04809894040226936
115,0.05828767642378807,0.07315874844789505,0.08132035285234451,0.055668916553258896,0.05719758942723274,0.06512665674090386,0.011465610544567876,0.04789964109659195
116,0.056404273957014084,0.06771539896726608,0.07763765007257462,0.05173129215836525,0.05400591343641281,0.06149890571832657,0.010915703578134773,0.049210116267204285
117,0.05931021645665169,0.07154484838247299,0.08189599961042404,0.053287602961063385,0.056171663105487823,0.06444206610321998,0.011981723639672856,0.0589490681886673
118,0.05791586637496948,0.07173629105091095,0.07975341379642487,0.052829619497060776,0.05594416335225105,0.06363587081432343,0.011554738008598176,0.05593274161219597
119,0.04765138030052185,0.05866817757487297,0.06852387636899948,0.041460905224084854,0.04555298015475273,0.05237146392464638,0.011049436999943405,0.046533361077308655
120,0.040043070912361145,0.045352477580308914,0.057547494769096375,0.03295852988958359,0.038335926830768585,0.04284749999642372,0.009332411313574642,0.03902485594153404
121,0.033936548978090286,0.04294411092996597,0.05447288975119591,0.028518088161945343,0.033227186650037766,0.03861976489424705,0.010284427798956983,0.035168278962373734
122,0.032666806131601334,0.041617002338171005,0.053400542587041855,0.027021748945116997,0.03104901686310768,0.037151023373007776,0.010534903072110526,0.03658709675073624
123,0.042329709976911545,0.05323230102658272,0.06763091683387756,0.0384424589574337,0.04242320731282234,0.048811718821525574,0.01187491925180268,0.043626442551612854
124,0.03665338456630707,0.04560350626707077,0.06074751168489456,0.031843844801187515,0.037899184972047806,0.04254948645830155,0.011308130303728823,0.037326689809560776
125,0.0402054488658905,0.04911326617002487,0.06379389762878418,0.0366787351667881,0.04155248403549194,0.04626876637339592,0.010795800589152329,0.03883066400885582
126,0.05397781729698181,0.06342190504074097,0.07960154861211777,0.05103559046983719,0.05434546619653702,0.06047646552324295,0.011655429211255793,0.05746325105428696
127,0.06178193539381027,0.06938844919204712,0.08535714447498322,0.0575685016810894,0.06317167729139328,0.06745354160666465,0.01086851365653021,0.06798175722360611
128,0.062229838222265244,0.07081958651542664,0.08506383001804352,0.05865401774644852,0.06423768401145935,0.06820099130272865,0.010412967256098943,0.06330438703298569
129,0.05516959726810455,0.06393970549106598,0.07827505469322205,0.0508234016597271,0.05782761797308922,0.061207075417041776,0.01065921830396473,0.06483439356088638
130,0.04988382011651993,0.06330535560846329,0.07625953108072281,0.04798464477062225,0.05632873624563217,0.05875241756439209,0.0114858549014908,0.06593114137649536
131,0.05744895711541176,0.06965820491313934,0.08475182950496674,0.05534471943974495,0.0645129531621933,0.06634333282709122,0.011761067472265355,0.07075096666812897
