step,agent_model_0,agent_model_1,agent_model_2,agent_model_3,agent_model_4,agent_cumulative_return_mean,agent_cumulative_return_std,benchmark_cumulative_return
0,-0.0005538802361115813,-0.0005537922261282802,-0.0005539607373066247,-0.0005539422272704542,-0.0005538289551623166,-0.0005538808763958514,7.19318936220845e-08,0.000821119116153568
1,0.028749799355864525,0.02874986082315445,0.028749819844961166,0.028749775141477585,0.0287498589605093,0.028749822825193404,3.735985156248535e-08,0.026684334501624107
2,0.00654765497893095,0.006547716911882162,0.006547665223479271,0.006547662895172834,0.006547755096107721,0.006547691021114588,4.339228669785306e-08,0.007787540555000305
3,0.009800178930163383,0.00980016402900219,0.009800116531550884,0.009800140745937824,0.00980022456496954,0.009800164960324764,4.0866918485453136e-08,0.010605141520500183
4,0.006594130303710699,0.006594135891646147,0.006594184786081314,0.006594173144549131,0.00659421319141984,0.006594167463481427,3.4644699061015856e-08,-0.0008970008348114789
5,-0.003503187792375684,-0.0035031605511903763,-0.0035032578743994236,-0.0035032553132623434,-0.003503091400489211,-0.0035031905863434076,6.975852432370542e-08,-0.013896476477384567
6,-0.0020503837149590254,-0.0020503068808466196,-0.0020503499545156956,-0.0020504039712250233,-0.00205033621750772,-0.0020503561478108167,3.843772318281331e-08,-0.008765878155827522
7,-0.004405223298817873,-0.004405329469591379,-0.004405351355671883,-0.0044053420424461365,-0.004405230283737183,-0.004405295290052891,6.305937630470337e-08,-0.011803004890680313
8,-0.006049923598766327,-0.00604985561221838,-0.0060499575920403,-0.006049905437976122,-0.006049810443073511,-0.006049890536814928,5.7979037899841926e-08,-0.013522246852517128
9,0.028988879173994064,0.028988836333155632,0.028988754376769066,0.028988787904381752,0.028988897800445557,0.028988831117749213,6.029046003773567e-08,0.02011450007557869
10,0.013660321943461895,0.013660415075719357,0.013660336844623089,0.013660323806107044,0.01366045605391264,0.013660370744764805,6.119009029694547e-08,0.007593696005642414
11,-0.001853562076576054,-0.0018534580012783408,-0.001853566151112318,-0.0018535943236202002,-0.0018534715054556727,-0.0018535304116085172,6.139608761475151e-08,-0.009138179011642933
12,-0.018732573837041855,-0.018732571974396706,-0.018732603639364243,-0.018732545897364616,-0.018732493743300438,-0.018732557818293572,4.124402793790704e-08,-0.026378195732831955
13,-0.02379779703915119,-0.02379777282476425,-0.023797769099473953,-0.023797791451215744,-0.023797666653990746,-0.02379775941371918,5.319800634148392e-08,-0.02624715119600296
14,-0.03415464237332344,-0.03415457159280777,-0.034154605120420456,-0.03415462002158165,-0.03415451571345329,-0.03415459096431732,4.930911096267193e-08,-0.03417007997632027
15,-0.025336379185318947,-0.02533636800944805,-0.02533639967441559,-0.025336436927318573,-0.025336289778351784,-0.025336374714970588,5.4250639160679485e-08,-0.02365364506840706
16,-0.02566400170326233,-0.025664035230875015,-0.025664065033197403,-0.025664061307907104,-0.02566395327448845,-0.02566402330994606,4.6633135745781936e-08,-0.023025600239634514
17,-0.03338437154889107,-0.03338436409831047,-0.033384401351213455,-0.03338447958230972,-0.033384304493665695,-0.033384384214878084,6.385369259436676e-08,-0.03139231353998184
18,-0.022533752024173737,-0.022533759474754333,-0.02253379486501217,-0.022533779963850975,-0.022533707320690155,-0.022533758729696273,3.3335624468588295e-08,-0.019744684919714928
19,-0.026109013706445694,-0.026108991354703903,-0.026109009981155396,-0.02610901929438114,-0.02610897831618786,-0.0261090025305748,1.71221572075507e-08,-0.021839382126927376
20,-0.028725355863571167,-0.02872537635266781,-0.028725430369377136,-0.02872534468770027,-0.028725268319249153,-0.028725355118513107,5.864522796845126e-08,-0.026184383779764175
21,-0.026829764246940613,-0.026829738169908524,-0.02682984061539173,-0.026829803362488747,-0.026829717680811882,-0.0268297728151083,4.960724466265687e-08,-0.02503805235028267
22,-0.018448755145072937,-0.01844870299100876,-0.018448781222105026,-0.018448829650878906,-0.018448660150170326,-0.01844874583184719,6.622220886733822e-08,-0.01887216605246067
23,-0.01859879307448864,-0.018598757684230804,-0.018598852679133415,-0.01859884336590767,-0.018598679453134537,-0.018598785251379014,7.060137701115863e-08,-0.02437715046107769
24,-0.023889821022748947,-0.023889843374490738,-0.02388986386358738,-0.023889858275651932,-0.023889761418104172,-0.023889829590916633,4.155828067524581e-08,-0.030839983373880386
25,-0.025638587772846222,-0.025638554245233536,-0.02563861943781376,-0.025638669729232788,-0.025638436898589134,-0.02563857361674309,8.74709744037604e-08,-0.029686402529478073
26,-0.007074850611388683,-0.007074757944792509,-0.0070747798308730125,-0.007074810564517975,-0.007074725814163685,-0.007074784953147173,4.8010559450022895e-08,-0.009275221265852451
27,-0.016339551657438278,-0.01633954979479313,-0.016339566558599472,-0.01633957400918007,-0.01633945107460022,-0.016339538618922234,4.998001405968792e-08,-0.01648814231157303
28,-0.00471924664452672,-0.004719248041510582,-0.00471927784383297,-0.00471931928768754,-0.004719228949397802,-0.004719264153391123,3.5470737983336754e-08,-0.005414040759205818
29,0.006353999488055706,0.006354047451168299,0.006354027893394232,0.006354036275297403,0.006354123819619417,0.006354046985507011,4.6472903154323435e-08,0.006517361383885145
30,-0.0006551434053108096,-0.0006551265250891447,-0.0006552382837980986,-0.0006551682599820197,-0.0006550601101480424,-0.000655147316865623,6.474219402710828e-08,0.0019034978467971087
31,0.01057023648172617,0.010570204816758633,0.010570190846920013,0.01057023648172617,0.010570373386144638,0.010570248402655125,7.265927807660916e-08,0.014244318939745426
32,0.007968412712216377,0.007968354038894176,0.007968351244926453,0.007968306541442871,0.007968450896441936,0.007968375086784362,5.6728936676606005e-08,0.01284757163375616
33,-0.016126932576298714,-0.016126951202750206,-0.016126971691846848,-0.016127008944749832,-0.016126884147524834,-0.016126949712634085,4.6330841015178015e-08,-0.010394358076155186
34,-0.01655547134578228,-0.016555432230234146,-0.01655549369752407,-0.0165555402636528,-0.016555361449718475,-0.016555459797382356,6.743444312757096e-08,-0.009318860247731209
35,-0.010939258150756359,-0.010939249768853188,-0.01093925442546606,-0.010939307510852814,-0.01093916967511177,-0.010939247906208038,4.9557388562293766e-08,0.0012924502370879054
36,-0.005223533138632774,-0.005223518703132868,-0.005223534069955349,-0.00522356852889061,-0.005223461892455816,-0.005223523266613484,3.889233624920759e-08,0.0035567039158195257
