step,agent_daily_return,agent_cumulative_return,benchmark_daily_return,benchmark_cumulative_return,portfolio_return,transaction_penality,weight_MSFT,weight_GOOG,weight_AMZN,weight_BRK-B,weight_WMT,weight_COST,weight_JPM,weight_V,weight_LLY,weight_PG,weight_GLD,weight_AAPL,weight_UNH,weight_XOM,weight_CVX,weight_UNP,weight_CAT,weight_LIN,weight_NEE,weight_AMT,weight_DBC
0,-0.011472601215167043,-0.011472601215167022,-0.0063908555889711964,-0.006390855588971234,-0.011472601215167043,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
1,-0.005510292688554235,-0.016919676513126536,-0.0031840179344119783,-0.009554524924571761,-0.005510292688554235,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
2,-0.006479755819923699,-0.023289796960693,-0.0024883209436105747,-0.012019071143706372,-0.006479755819923699,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
3,0.020338409258703304,-0.0034250651241283236,0.013538534014309812,0.0013567422671039164,0.020338409258703304,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
4,0.010577403706256115,0.007116110285589672,0.011584573695366427,0.01295703324324915,0.010577403706256115,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
5,0.0014408012338446023,0.00856716441991412,5.9894768199400406e-05,0.013017704069951064,0.0014408012338446023,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
6,-0.01616588722901722,-0.007737218622987929,-0.01615687705732612,-0.003349498431601927,-0.01616588722901722,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
7,0.006720776355770453,-0.0010684423831983647,0.003744478348686932,0.00038243779272884026,0.006720776355770453,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
8,-0.014061154857022529,-0.015114573706414891,-0.017182201732499586,-0.016806335063075606,-0.014061154857022529,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
9,-0.01198548680932078,-0.026918904991948933,-0.013599468339355516,-0.030177246180840278,-0.01198548680932078,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
10,0.021026723209674202,-0.006458198146648053,0.01884503538942552,-0.011900902063648022,0.021026723209674202,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
11,-0.003301119954211518,-0.009737998814089432,-0.010696257274421266,-0.02246986422779884,-0.003301119954211518,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
12,0.008904301051181002,-0.0009204078359852375,0.0027406678029075933,-0.019790778858316038,0.008904301051181002,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
13,0.015155799440736067,0.014221442088184988,0.016179960358066497,-0.003931032517632271,0.015155799440736067,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
14,-0.006980452454795126,0.007141717533054592,-0.004865362847025878,-0.008777269465096382,-0.006980452454795126,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
15,0.011293406870437409,0.018515778725346488,0.01513094500168541,0.00622086715504766,0.011293406870437409,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
16,-0.006708621353176916,0.011682942023641951,0.0010422006959488208,0.007269551243074712,-0.006708621353176916,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
17,-0.00551258345912908,0.006105955371559446,-0.005239231751250977,0.001992232628133639,-0.00551258345912908,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
18,-0.0038832678796154574,0.0021989764315752947,-0.008638338346244622,-0.006663315297617212,-0.0038832678796154574,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
19,0.01812136131204524,0.020360186190053753,0.01488189165215839,0.00811941361823787,0.01812136131204524,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
20,-0.00440320220047746,0.015867333972942266,-0.001158487893973849,0.006951519481880997,-0.00440320220047746,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
21,0.007798106076329064,0.02378917520274082,0.008260286474164658,0.015269227498396765,0.007798106076329064,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
22,0.00988916115880861,0.03391359134896432,0.0063604985391754925,0.0217268459367701,0.00988916115880861,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
23,0.002120737749665996,0.03610625093203068,0.003089979490746435,0.02488396093585976,0.002120737749665996,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
24,0.007173883926823443,0.04353915691207311,0.012023134548249817,0.037206278694534856,0.0072338839268234435,5.9999999999999995e-05,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
25,0.005196195442315701,0.04896159032309755,0.0071652296875882385,0.04463809991478973,0.005196195442315701,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
26,0.00031000469713876063,0.04928677334321585,-0.0029898640246684613,0.04151477404105641,0.00031000469713876063,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
27,-0.0006262421008514298,0.048629665789881926,-0.0011017647196491893,0.04036726980802463,-0.0006262421008514298,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
28,0.00498677672326229,0.05385894779856515,0.0009846335500553604,0.041391650326257245,0.00498677672326229,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
29,0.0053934390122380126,0.059542871761018024,0.0058334005991696235,0.04746650500324057,0.0053934390122380126,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
30,0.004369048873812795,0.06417206635164185,0.005604652266173851,0.053337190524248346,0.004369048873812795,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
31,-0.000998926568991566,0.06310903660058442,-0.002110640264868021,0.05111397463744494,-0.000998926568991566,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
32,0.005684120793983623,0.0691518767817978,0.008949117554189997,0.06052051715932727,0.005684120793983623,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
33,0.0001571084623915367,0.069319849589222,-0.00031608038608711366,0.06018530742481021,0.0001571084623915367,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
34,0.004685608725899953,0.07433026400723519,0.0026408738558129034,0.06298512308550519,0.004685608725899953,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
35,-0.00535890807925828,0.06857302687565503,-0.005177801179515876,0.05748119746138536,-0.00535890807925828,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
36,0.0017795974581750623,0.07047465671815756,-0.0011463887255106972,0.05626891293917602,0.0017795974581750623,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
37,0.009760829764236234,0.08092337760931279,0.007681554242353099,0.06438269988842982,0.009760829764236234,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
