Strategy,Type,Annual Return,Annual Volatility
PPO Agent,Agent,0.28864960140269247,0.13022277539163846
Equal Weight B&H,Benchmark,0.24265393996002205,0.11728304712463912
MSFT,Asset,0.21704824907608455,0.24743665731119407
GOOG,Asset,0.5973277138640192,0.31404773816507686
AMZN,Asset,0.3831928108304876,0.33214662948671897
BRK-B,Asset,0.19490774305504566,0.1751601581837387
WMT,Asset,0.4331761770126412,0.20717212714127228
COST,Asset,0.30848407556264457,0.19494700270989446
JPM,Asset,0.35850808999017625,0.23307608595356877
V,Asset,0.1574544481546274,0.20002105152589447
LLY,Asset,0.5708277245804563,0.3386313816637102
PG,Asset,0.09858246348446209,0.16716598574253003
GLD,Asset,0.4361333888298258,0.17546164304271317
AAPL,Asset,0.28404786957050954,0.2728140093046238
UNH,Asset,-0.09044541823817687,0.3561716058243103
XOM,Asset,0.17329009774914406,0.24048188974480425
CVX,Asset,0.11447595859721238,0.23318038680692496
UNP,Asset,0.12292589471281734,0.21492950218715773
CAT,Asset,0.5737056586687697,0.3000281847289713
LIN,Asset,0.16969294542668445,0.17823289693600392
NEE,Asset,0.16082682833414674,0.26408363208629626
AMT,Asset,0.039439209060410985,0.2523658586863659
DBC,Asset,0.07019270767629826,0.15299107086555536
